Issue key,Summary,Issue Type,Status,Assignee,Reporter,Created,Due date,Issue id,Assignee Id,Reporter Id,Priority,Resolution,Updated
VFS-99,Reporting Manager name showing wrong instead it is showing user name itself.,Bug,Completed,Koushik Uppuluri,Meghanath M,16-04-2024 14:15,,12362,712020:8466b986-4939-46af-821f-5bd62195978c,712020:4e6eed30-5c42-466e-949e-fb599e2ae238,Medium,Done,09-05-2024 14:11
VFS-99,Reporting Manager name showing wrong instead it is showing user name itself.,Bug,Completed,Koushik Uppuluri,Meghanath M,16-04-2024 14:15,,12362,712020:4e6eed30-5c42-466e-949e-fb599e2ae238,712020:8466b986-4939-46af-821f-5bd62195978c,Medium,Done,09-05-2024 14:11
VFS-98,Due to security issues we should not send user id and password in a single email.,Bug,To Do,Prashanth HK,Meghanath M,16-04-2024 14:00,,12361,712020:8466b986-4939-46af-821f-5bd62195978c,712020:4c805787-bb33-4589-862a-eb8b3936ae28,Medium,,15-05-2024 10:56
VFS-98,Due to security issues we should not send user id and password in a single email.,Bug,To Do,Prashanth HK,Meghanath M,16-04-2024 14:00,,12361,712020:8466b986-4939-46af-821f-5bd62195978c,712020:4c805787-bb33-4589-862a-eb8b3936ae28,Medium,,15-05-2024 10:56
VFS-98,Due to security issues we should not send user id and password in a single email.,Bug,To Do,Prashanth HK,Meghanath M,16-04-2024 14:00,,12361,712020:4c805787-bb33-4589-862a-eb8b3936ae28,712020:8466b986-4939-46af-821f-5bd62195978c,Medium,,15-05-2024 10:56
VFS-98,Due to security issues we should not send user id and password in a single email.,Bug,To Do,Prashanth HK,Meghanath M,16-04-2024 14:00,,12361,712020:4c805787-bb33-4589-862a-eb8b3936ae28,712020:8466b986-4939-46af-821f-5bd62195978c,Medium,,15-05-2024 10:56
VFS-97,Mic option i.e Text to speech is not working,Bug,Completed,Meghanath M,Meghanath M,16-04-2024 13:55,10-04-2024 00:00,12360,712020:8466b986-4939-46af-821f-5bd62195978c,712020:8466b986-4939-46af-821f-5bd62195978c,Medium,Done,15-05-2024 15:38
VFS-97,Mic option i.e Text to speech is not working,Bug,Completed,Meghanath M,Meghanath M,16-04-2024 13:55,10-04-2024 00:00,12360,712020:8466b986-4939-46af-821f-5bd62195978c,712020:8466b986-4939-46af-821f-5bd62195978c,Medium,Done,15-05-2024 15:38
VFS-96,Make a address text field to standard size and instead making big put scroll bar to check the details,Bug,Completed,Koushik Uppuluri,Meghanath M,16-04-2024 13:50,,12359,712020:8466b986-4939-46af-821f-5bd62195978c,712020:4e6eed30-5c42-466e-949e-fb599e2ae238,Medium,Done,10-05-2024 09:03
VFS-96,Make a address text field to standard size and instead making big put scroll bar to check the details,Bug,Completed,Koushik Uppuluri,Meghanath M,16-04-2024 13:50,,12359,712020:4e6eed30-5c42-466e-949e-fb599e2ae238,712020:8466b986-4939-46af-821f-5bd62195978c,Medium,Done,10-05-2024 09:03
VFS-92,Integrated country and state api with ui in food form,Task,Completed,Meghanath M,Subramanya c,15-04-2024 15:50,15-04-2024 00:00,12345,712020:d05c4a89-b9dc-4f4f-a976-10ec785297db,712020:8466b986-4939-46af-821f-5bd62195978c,Medium,Done,15-05-2024 15:37
